circuitId,circuitRef,name,location,country,lat,lng,alt,url
42,miami,Miami International Autodrome,Miami,USA,25.9581,-80.2389,alt,http://en.wikipedia.org/wiki/Miami_International_Autodrome
43,monaco,Circuit de Monaco,Monte-Carlo,Monaco,43.7347,7.42056,alt,http://en.wikipedia.org/wiki/Circuit_de_Monaco
44,monsanto,Monsanto Park Circuit,Lisbon,Portugal,38.7197,-9.20306,alt,http://en.wikipedia.org/wiki/Monsanto_Park_Circuit
45,montjuic,Montjuïc,Barcelona,Spain,41.3664,2.15167,alt,http://en.wikipedia.org/wiki/Montju%C3%AFc_circuit
46,monza,Autodromo Nazionale di Monza,Monza,Italy,45.6156,9.28111,alt,http://en.wikipedia.org/wiki/Autodromo_Nazionale_Monza
47,mosport,Mosport International Raceway,Ontario,Canada,44.0481,-78.6756,alt,http://en.wikipedia.org/wiki/Mosport
48,mugello,Autodromo Internazionale del Mugello,Mugello,Italy,43.9975,11.3719,alt,http://en.wikipedia.org/wiki/Mugello_Circuit
49,nivelles,Nivelles-Baulers,Brussels,Belgium,50.6211,4.32694,alt,http://en.wikipedia.org/wiki/Nivelles-Baulers
50,nurburgring,Nürburgring,Nürburg,Germany,50.3356,6.9475,alt,http://en.wikipedia.org/wiki/N%C3%BCrburgring
51,okayama,Okayama International Circuit,Okayama,Japan,34.915,134.221,alt,http://en.wikipedia.org/wiki/TI_Circuit
52,pedralbes,Circuit de Pedralbes,Barcelona,Spain,41.3903,2.11667,alt,http://en.wikipedia.org/wiki/Pedralbes_Circuit
53,pescara,Pescara Circuit,Pescara,Italy,42.475,14.1508,alt,http://en.wikipedia.org/wiki/Pescara_Circuit
54,phoenix,Phoenix street circuit,Phoenix,USA,33.4479,-112.075,alt,http://en.wikipedia.org/wiki/Phoenix_street_circuit
55,portimao,Autódromo Internacional do Algarve,Portimão,Portugal,37.227,-8.6267,alt,http://en.wikipedia.org/wiki/Algarve_International_Circuit
56,red_bull_ring,Red Bull Ring,Spielberg,Austria,47.2197,14.7647,alt,http://en.wikipedia.org/wiki/Red_Bull_Ring
57,reims,Reims-Gueux,Reims,France,49.2542,3.93083,alt,http://en.wikipedia.org/wiki/Reims-Gueux
58,ricard,Circuit Paul Ricard,Le Castellet,France,43.2506,5.79167,alt,http://en.wikipedia.org/wiki/Paul_Ricard_Circuit
59,riverside,Riverside International Raceway,California,USA,33.937,-117.273,alt,http://en.wikipedia.org/wiki/Riverside_International_Raceway
60,rodriguez,Autódromo Hermanos Rodríguez,Mexico City,Mexico,19.4042,-99.0907,alt,http://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez
61,sebring,Sebring International Raceway,Florida,USA,27.4547,-81.3483,alt,http://en.wikipedia.org/wiki/Sebring_Raceway
62,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,alt,http://en.wikipedia.org/wiki/Sepang_International_Circuit
63,shanghai,Shanghai International Circuit,Shanghai,China,31.3389,121.22,alt,http://en.wikipedia.org/wiki/Shanghai_International_Circuit
64,silverstone,Silverstone Circuit,Silverstone,UK,52.0786,-1.01694,alt,http://en.wikipedia.org/wiki/Silverstone_Circuit
65,sochi,Sochi Autodrom,Sochi,Russia,43.4057,39.9578,alt,http://en.wikipedia.org/wiki/Sochi_Autodrom
66,spa,Circuit de Spa-Francorchamps,Spa,Belgium,50.4372,5.97139,alt,http://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps
67,suzuka,Suzuka Circuit,Suzuka,Japan,34.8431,136.541,alt,http://en.wikipedia.org/wiki/Suzuka_Circuit
68,tremblant,Circuit Mont-Tremblant,Quebec,Canada,46.1877,-74.6099,alt,http://en.wikipedia.org/wiki/Circuit_Mont-Tremblant
69,valencia,Valencia Street Circuit,Valencia,Spain,39.4589,-0.331667,alt,http://en.wikipedia.org/wiki/Valencia_Street_Circuit
70,vegas,Las Vegas Strip Street Circuit,Las Vegas,United States,36.1147,-115.173,alt,https://en.wikipedia.org/wiki/Las_Vegas_Grand_Prix#Circuit
71,villeneuve,Circuit Gilles Villeneuve,Montreal,Canada,45.5,-73.5228,alt,http://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve
72,watkins_glen,Watkins Glen,New York State,USA,42.3369,-76.9272,alt,http://en.wikipedia.org/wiki/Watkins_Glen_International
73,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,24.4672,54.6031,alt,http://en.wikipedia.org/wiki/Yas_Marina_Circuit
74,yeongam,Korean International Circuit,Yeongam County,Korea,34.7333,126.417,alt,http://en.wikipedia.org/wiki/Korean_International_Circuit
75,zandvoort,Circuit Park Zandvoort,Zandvoort,Netherlands,52.3888,4.54092,alt,http://en.wikipedia.org/wiki/Circuit_Zandvoort
76,zeltweg,Zeltweg,Styria,Austria,47.2039,14.7478,alt,http://en.wikipedia.org/wiki/Zeltweg_Airfield
77,zolder,Zolder,Heusden-Zolder,Belgium,50.9894,5.25694,alt,http://en.wikipedia.org/wiki/Zolder
