race_id,year,round,circuit_id,race_name,date,time,race_timestamp,data_source,ingestion_date
535,1978,9,34,French Grand Prix,1978-07-02,\N,1978-07-02 \N,dev,2024-04-25
536,1978,10,38,British Grand Prix,1978-07-16,\N,1978-07-16 \N,dev,2024-04-25
537,1978,11,10,German Grand Prix,1978-07-30,\N,1978-07-30 \N,dev,2024-04-25
538,1978,12,23,Austrian Grand Prix,1978-08-13,\N,1978-08-13 \N,dev,2024-04-25
539,1978,13,39,Dutch Grand Prix,1978-08-27,\N,1978-08-27 \N,dev,2024-04-25
540,1978,14,14,Italian Grand Prix,1978-09-10,\N,1978-09-10 \N,dev,2024-04-25
541,1978,15,46,United States Grand Prix,1978-10-01,\N,1978-10-01 \N,dev,2024-04-25
542,1978,16,7,Canadian Grand Prix,1978-10-08,\N,1978-10-08 \N,dev,2024-04-25
543,1977,1,25,Argentine Grand Prix,1977-01-09,\N,1977-01-09 \N,dev,2024-04-25
544,1977,2,18,Brazilian Grand Prix,1977-01-23,\N,1977-01-23 \N,dev,2024-04-25
545,1977,3,30,South African Grand Prix,1977-03-05,\N,1977-03-05 \N,dev,2024-04-25
546,1977,4,43,United States Grand Prix West,1977-04-03,\N,1977-04-03 \N,dev,2024-04-25
547,1977,5,45,Spanish Grand Prix,1977-05-08,\N,1977-05-08 \N,dev,2024-04-25
548,1977,6,6,Monaco Grand Prix,1977-05-22,\N,1977-05-22 \N,dev,2024-04-25
549,1977,7,40,Belgian Grand Prix,1977-06-05,\N,1977-06-05 \N,dev,2024-04-25
550,1977,8,47,Swedish Grand Prix,1977-06-19,\N,1977-06-19 \N,dev,2024-04-25
551,1977,9,41,French Grand Prix,1977-07-03,\N,1977-07-03 \N,dev,2024-04-25
552,1977,10,9,British Grand Prix,1977-07-16,\N,1977-07-16 \N,dev,2024-04-25
553,1977,11,10,German Grand Prix,1977-07-31,\N,1977-07-31 \N,dev,2024-04-25
554,1977,12,23,Austrian Grand Prix,1977-08-14,\N,1977-08-14 \N,dev,2024-04-25
555,1977,13,39,Dutch Grand Prix,1977-08-28,\N,1977-08-28 \N,dev,2024-04-25
556,1977,14,14,Italian Grand Prix,1977-09-11,\N,1977-09-11 \N,dev,2024-04-25
557,1977,15,46,United States Grand Prix,1977-10-02,\N,1977-10-02 \N,dev,2024-04-25
558,1977,16,48,Canadian Grand Prix,1977-10-09,\N,1977-10-09 \N,dev,2024-04-25
559,1977,17,16,Japanese Grand Prix,1977-10-23,\N,1977-10-23 \N,dev,2024-04-25
560,1976,1,18,Brazilian Grand Prix,1976-01-25,\N,1976-01-25 \N,dev,2024-04-25
561,1976,2,30,South African Grand Prix,1976-03-06,\N,1976-03-06 \N,dev,2024-04-25
562,1976,3,43,United States Grand Prix West,1976-03-28,\N,1976-03-28 \N,dev,2024-04-25
563,1976,4,45,Spanish Grand Prix,1976-05-02,\N,1976-05-02 \N,dev,2024-04-25
564,1976,5,40,Belgian Grand Prix,1976-05-16,\N,1976-05-16 \N,dev,2024-04-25
565,1976,6,6,Monaco Grand Prix,1976-05-30,\N,1976-05-30 \N,dev,2024-04-25
566,1976,7,47,Swedish Grand Prix,1976-06-13,\N,1976-06-13 \N,dev,2024-04-25
567,1976,8,34,French Grand Prix,1976-07-04,\N,1976-07-04 \N,dev,2024-04-25
568,1976,9,38,British Grand Prix,1976-07-18,\N,1976-07-18 \N,dev,2024-04-25
569,1976,10,20,German Grand Prix,1976-08-01,\N,1976-08-01 \N,dev,2024-04-25
570,1976,11,23,Austrian Grand Prix,1976-08-15,\N,1976-08-15 \N,dev,2024-04-25
571,1976,12,39,Dutch Grand Prix,1976-08-29,\N,1976-08-29 \N,dev,2024-04-25
572,1976,13,14,Italian Grand Prix,1976-09-12,\N,1976-09-12 \N,dev,2024-04-25
573,1976,14,48,Canadian Grand Prix,1976-10-03,\N,1976-10-03 \N,dev,2024-04-25
574,1976,15,46,United States Grand Prix,1976-10-10,\N,1976-10-10 \N,dev,2024-04-25
575,1976,16,16,Japanese Grand Prix,1976-10-24,\N,1976-10-24 \N,dev,2024-04-25
576,1975,1,25,Argentine Grand Prix,1975-01-12,\N,1975-01-12 \N,dev,2024-04-25
577,1975,2,18,Brazilian Grand Prix,1975-01-26,\N,1975-01-26 \N,dev,2024-04-25
578,1975,3,30,South African Grand Prix,1975-03-01,\N,1975-03-01 \N,dev,2024-04-25
579,1975,4,49,Spanish Grand Prix,1975-04-27,\N,1975-04-27 \N,dev,2024-04-25
580,1975,5,6,Monaco Grand Prix,1975-05-11,\N,1975-05-11 \N,dev,2024-04-25
581,1975,6,40,Belgian Grand Prix,1975-05-25,\N,1975-05-25 \N,dev,2024-04-25
582,1975,7,47,Swedish Grand Prix,1975-06-08,\N,1975-06-08 \N,dev,2024-04-25
583,1975,8,39,Dutch Grand Prix,1975-06-22,\N,1975-06-22 \N,dev,2024-04-25
584,1975,9,34,French Grand Prix,1975-07-06,\N,1975-07-06 \N,dev,2024-04-25
585,1975,10,9,British Grand Prix,1975-07-19,\N,1975-07-19 \N,dev,2024-04-25
586,1975,11,20,German Grand Prix,1975-08-03,\N,1975-08-03 \N,dev,2024-04-25
587,1975,12,23,Austrian Grand Prix,1975-08-17,\N,1975-08-17 \N,dev,2024-04-25
588,1975,13,14,Italian Grand Prix,1975-09-07,\N,1975-09-07 \N,dev,2024-04-25
589,1975,14,46,United States Grand Prix,1975-10-05,\N,1975-10-05 \N,dev,2024-04-25
590,1974,1,25,Argentine Grand Prix,1974-01-13,\N,1974-01-13 \N,dev,2024-04-25
591,1974,2,18,Brazilian Grand Prix,1974-01-27,\N,1974-01-27 \N,dev,2024-04-25
592,1974,3,30,South African Grand Prix,1974-03-30,\N,1974-03-30 \N,dev,2024-04-25
593,1974,4,45,Spanish Grand Prix,1974-04-28,\N,1974-04-28 \N,dev,2024-04-25
594,1974,5,50,Belgian Grand Prix,1974-05-12,\N,1974-05-12 \N,dev,2024-04-25
595,1974,6,6,Monaco Grand Prix,1974-05-26,\N,1974-05-26 \N,dev,2024-04-25
596,1974,7,47,Swedish Grand Prix,1974-06-09,\N,1974-06-09 \N,dev,2024-04-25
597,1974,8,39,Dutch Grand Prix,1974-06-23,\N,1974-06-23 \N,dev,2024-04-25
598,1974,9,41,French Grand Prix,1974-07-07,\N,1974-07-07 \N,dev,2024-04-25
599,1974,10,38,British Grand Prix,1974-07-20,\N,1974-07-20 \N,dev,2024-04-25
600,1974,11,20,German Grand Prix,1974-08-04,\N,1974-08-04 \N,dev,2024-04-25
601,1974,12,23,Austrian Grand Prix,1974-08-18,\N,1974-08-18 \N,dev,2024-04-25
602,1974,13,14,Italian Grand Prix,1974-09-08,\N,1974-09-08 \N,dev,2024-04-25
603,1974,14,48,Canadian Grand Prix,1974-09-22,\N,1974-09-22 \N,dev,2024-04-25
604,1974,15,46,United States Grand Prix,1974-10-06,\N,1974-10-06 \N,dev,2024-04-25
605,1973,1,25,Argentine Grand Prix,1973-01-28,\N,1973-01-28 \N,dev,2024-04-25
606,1973,2,18,Brazilian Grand Prix,1973-02-11,\N,1973-02-11 \N,dev,2024-04-25
607,1973,3,30,South African Grand Prix,1973-03-03,\N,1973-03-03 \N,dev,2024-04-25
608,1973,4,49,Spanish Grand Prix,1973-04-29,\N,1973-04-29 \N,dev,2024-04-25
609,1973,5,40,Belgian Grand Prix,1973-05-20,\N,1973-05-20 \N,dev,2024-04-25
610,1973,6,6,Monaco Grand Prix,1973-06-03,\N,1973-06-03 \N,dev,2024-04-25
611,1973,7,47,Swedish Grand Prix,1973-06-17,\N,1973-06-17 \N,dev,2024-04-25
612,1973,8,34,French Grand Prix,1973-07-01,\N,1973-07-01 \N,dev,2024-04-25
613,1973,9,9,British Grand Prix,1973-07-14,\N,1973-07-14 \N,dev,2024-04-25
614,1973,10,39,Dutch Grand Prix,1973-07-29,\N,1973-07-29 \N,dev,2024-04-25
615,1973,11,20,German Grand Prix,1973-08-05,\N,1973-08-05 \N,dev,2024-04-25
616,1973,12,23,Austrian Grand Prix,1973-08-19,\N,1973-08-19 \N,dev,2024-04-25
617,1973,13,14,Italian Grand Prix,1973-09-09,\N,1973-09-09 \N,dev,2024-04-25
618,1973,14,48,Canadian Grand Prix,1973-09-23,\N,1973-09-23 \N,dev,2024-04-25
619,1973,15,46,United States Grand Prix,1973-10-07,\N,1973-10-07 \N,dev,2024-04-25
620,1972,1,25,Argentine Grand Prix,1972-01-23,\N,1972-01-23 \N,dev,2024-04-25
621,1972,2,30,South African Grand Prix,1972-03-04,\N,1972-03-04 \N,dev,2024-04-25
622,1972,3,45,Spanish Grand Prix,1972-05-01,\N,1972-05-01 \N,dev,2024-04-25
623,1972,4,6,Monaco Grand Prix,1972-05-14,\N,1972-05-14 \N,dev,2024-04-25
624,1972,5,50,Belgian Grand Prix,1972-06-04,\N,1972-06-04 \N,dev,2024-04-25
625,1972,6,51,French Grand Prix,1972-07-02,\N,1972-07-02 \N,dev,2024-04-25
626,1972,7,38,British Grand Prix,1972-07-15,\N,1972-07-15 \N,dev,2024-04-25
627,1972,8,20,German Grand Prix,1972-07-30,\N,1972-07-30 \N,dev,2024-04-25
628,1972,9,23,Austrian Grand Prix,1972-08-13,\N,1972-08-13 \N,dev,2024-04-25
629,1972,10,14,Italian Grand Prix,1972-09-10,\N,1972-09-10 \N,dev,2024-04-25
630,1972,11,48,Canadian Grand Prix,1972-09-24,\N,1972-09-24 \N,dev,2024-04-25
631,1972,12,46,United States Grand Prix,1972-10-08,\N,1972-10-08 \N,dev,2024-04-25
632,1971,1,30,South African Grand Prix,1971-03-06,\N,1971-03-06 \N,dev,2024-04-25
633,1971,2,49,Spanish Grand Prix,1971-04-18,\N,1971-04-18 \N,dev,2024-04-25
634,1971,3,6,Monaco Grand Prix,1971-05-23,\N,1971-05-23 \N,dev,2024-04-25
635,1971,4,39,Dutch Grand Prix,1971-06-20,\N,1971-06-20 \N,dev,2024-04-25
636,1971,5,34,French Grand Prix,1971-07-04,\N,1971-07-04 \N,dev,2024-04-25
637,1971,6,9,British Grand Prix,1971-07-17,\N,1971-07-17 \N,dev,2024-04-25
638,1971,7,20,German Grand Prix,1971-08-01,\N,1971-08-01 \N,dev,2024-04-25
639,1971,8,23,Austrian Grand Prix,1971-08-15,\N,1971-08-15 \N,dev,2024-04-25
640,1971,9,14,Italian Grand Prix,1971-09-05,\N,1971-09-05 \N,dev,2024-04-25
641,1971,10,48,Canadian Grand Prix,1971-09-19,\N,1971-09-19 \N,dev,2024-04-25
642,1971,11,46,United States Grand Prix,1971-10-03,\N,1971-10-03 \N,dev,2024-04-25
643,1970,1,30,South African Grand Prix,1970-03-07,\N,1970-03-07 \N,dev,2024-04-25
644,1970,2,45,Spanish Grand Prix,1970-04-19,\N,1970-04-19 \N,dev,2024-04-25
645,1970,3,6,Monaco Grand Prix,1970-05-10,\N,1970-05-10 \N,dev,2024-04-25
646,1970,4,13,Belgian Grand Prix,1970-06-07,\N,1970-06-07 \N,dev,2024-04-25
647,1970,5,39,Dutch Grand Prix,1970-06-21,\N,1970-06-21 \N,dev,2024-04-25
648,1970,6,51,French Grand Prix,1970-07-05,\N,1970-07-05 \N,dev,2024-04-25
649,1970,7,38,British Grand Prix,1970-07-18,\N,1970-07-18 \N,dev,2024-04-25
650,1970,8,10,German Grand Prix,1970-08-02,\N,1970-08-02 \N,dev,2024-04-25
651,1970,9,23,Austrian Grand Prix,1970-08-16,\N,1970-08-16 \N,dev,2024-04-25
652,1970,10,14,Italian Grand Prix,1970-09-06,\N,1970-09-06 \N,dev,2024-04-25
653,1970,11,52,Canadian Grand Prix,1970-09-20,\N,1970-09-20 \N,dev,2024-04-25
654,1970,12,46,United States Grand Prix,1970-10-04,\N,1970-10-04 \N,dev,2024-04-25
655,1970,13,32,Mexican Grand Prix,1970-10-25,\N,1970-10-25 \N,dev,2024-04-25
656,1969,1,30,South African Grand Prix,1969-03-01,\N,1969-03-01 \N,dev,2024-04-25
657,1969,2,49,Spanish Grand Prix,1969-05-04,\N,1969-05-04 \N,dev,2024-04-25
658,1969,3,6,Monaco Grand Prix,1969-05-18,\N,1969-05-18 \N,dev,2024-04-25
659,1969,4,39,Dutch Grand Prix,1969-06-21,\N,1969-06-21 \N,dev,2024-04-25
660,1969,5,51,French Grand Prix,1969-07-06,\N,1969-07-06 \N,dev,2024-04-25
661,1969,6,9,British Grand Prix,1969-07-19,\N,1969-07-19 \N,dev,2024-04-25
662,1969,7,20,German Grand Prix,1969-08-03,\N,1969-08-03 \N,dev,2024-04-25
663,1969,8,14,Italian Grand Prix,1969-09-07,\N,1969-09-07 \N,dev,2024-04-25
664,1969,9,48,Canadian Grand Prix,1969-09-20,\N,1969-09-20 \N,dev,2024-04-25
665,1969,10,46,United States Grand Prix,1969-10-05,\N,1969-10-05 \N,dev,2024-04-25
666,1969,11,32,Mexican Grand Prix,1969-10-19,\N,1969-10-19 \N,dev,2024-04-25
667,1968,1,30,South African Grand Prix,1968-01-01,\N,1968-01-01 \N,dev,2024-04-25
668,1968,2,45,Spanish Grand Prix,1968-05-12,\N,1968-05-12 \N,dev,2024-04-25
669,1968,3,6,Monaco Grand Prix,1968-05-26,\N,1968-05-26 \N,dev,2024-04-25
670,1968,4,13,Belgian Grand Prix,1968-06-09,\N,1968-06-09 \N,dev,2024-04-25
671,1968,5,39,Dutch Grand Prix,1968-06-23,\N,1968-06-23 \N,dev,2024-04-25
672,1968,6,53,French Grand Prix,1968-07-07,\N,1968-07-07 \N,dev,2024-04-25
673,1968,7,38,British Grand Prix,1968-07-20,\N,1968-07-20 \N,dev,2024-04-25
674,1968,8,20,German Grand Prix,1968-08-04,\N,1968-08-04 \N,dev,2024-04-25
675,1968,9,14,Italian Grand Prix,1968-09-08,\N,1968-09-08 \N,dev,2024-04-25
676,1968,10,52,Canadian Grand Prix,1968-09-22,\N,1968-09-22 \N,dev,2024-04-25
677,1968,11,46,United States Grand Prix,1968-10-06,\N,1968-10-06 \N,dev,2024-04-25
678,1968,12,32,Mexican Grand Prix,1968-11-03,\N,1968-11-03 \N,dev,2024-04-25
679,1967,1,30,South African Grand Prix,1967-01-02,\N,1967-01-02 \N,dev,2024-04-25
680,1967,2,6,Monaco Grand Prix,1967-05-07,\N,1967-05-07 \N,dev,2024-04-25
681,1967,3,39,Dutch Grand Prix,1967-06-04,\N,1967-06-04 \N,dev,2024-04-25
682,1967,4,13,Belgian Grand Prix,1967-06-18,\N,1967-06-18 \N,dev,2024-04-25
683,1967,5,54,French Grand Prix,1967-07-02,\N,1967-07-02 \N,dev,2024-04-25
684,1967,6,9,British Grand Prix,1967-07-15,\N,1967-07-15 \N,dev,2024-04-25
685,1967,7,20,German Grand Prix,1967-08-06,\N,1967-08-06 \N,dev,2024-04-25
686,1967,8,48,Canadian Grand Prix,1967-08-27,\N,1967-08-27 \N,dev,2024-04-25
